daily,f0_
2016-03-02,92769
2016-03-03,102020
2016-03-04,111202
2016-03-05,93913
2016-03-06,81280
2016-03-07,86128
2016-03-08,86982
2016-03-09,87003
2016-03-10,99931
2016-03-11,112634
2016-03-12,133269
2016-03-13,85439
2016-03-14,89280
2016-03-15,91487
2016-03-16,99145
2016-03-17,108049
2016-03-18,115932
2016-03-19,96832
2016-03-20,77330
2016-03-21,78638
2016-03-22,81017
2016-03-23,93187
2016-03-24,107787
2016-03-25,96372
2016-03-26,82732
2016-03-27,65311
2016-03-28,73250
2016-03-29,78057
2016-03-30,89492
2016-03-31,65259
2016-04-01,112244
2016-04-02,105494
2016-04-03,85906
2016-04-04,96532
2016-04-05,93777
2016-04-06,102730
2016-04-07,106911
2016-04-08,114581
2016-04-09,97229
2016-04-10,73956
2016-04-11,84315
2016-04-12,90409
2016-04-13,96272
2016-04-14,100550
2016-04-15,109379
2016-04-16,96218
2016-04-17,79474
2016-04-18,83623
2016-04-19,94770
2016-04-20,98510
2016-04-21,96000
2016-04-22,101463
2016-04-23,81499
2016-04-24,70476
2016-04-25,76241
2016-04-26,92271
2016-04-27,99011
2016-04-28,102287
2016-04-29,110467
2016-04-30,101676
2016-05-01,75462
2016-05-02,81638
2016-05-03,85499
2016-05-04,94115
2016-05-05,102208
2016-05-06,106342
2016-05-07,91775
2016-05-08,69273
2016-05-09,94032
2016-05-10,100933
2016-05-11,101034
2016-05-12,105702
2016-05-13,114784
2016-05-14,96090
2016-05-15,77354
2016-05-16,79631
2016-05-17,89819
2016-05-18,93984
2016-05-19,99507
2016-05-20,110936
2016-05-21,99756
2016-05-22,92473
2016-05-23,96493
2016-05-24,94912
2016-05-25,96026
2016-05-26,95690
2016-05-27,98987
2016-05-28,88282
2016-05-29,84226
2016-05-30,61136
2016-05-31,81030
2016-06-01,89328
2016-06-02,100564
2016-06-03,115886
2016-06-04,97706
2016-06-05,90844
2016-06-06,92122
2016-06-07,97302
2016-06-08,94721
2016-06-09,100365
2016-06-10,109741
2016-06-11,108708
2016-06-12,92717
2016-06-13,93399
2016-06-14,95114
2016-06-15,96928
